book_num,paragraph,spell
0,hagrid look explode dursley boom uncle vernon go pale whisper something sound like mimblewimble hagrid stare wildly harry but yeh must know yer mom dad say I mean famous,mimblewimble
0,they could hear footstep filch run fast could toward peeve shout oh move hermione snarl she grab harry wand tap lock whisper alohomora the lock click door swung open pile shut quickly press ear listen which way go peeve filch say,alohomora
0,seamus get impatient prod wand set fire harry put hat ron next table much luck wingardium leviosa shout wave long arm like windmill you say wrong harry hear hermione snap it winggardium leviosa make gar nice long,wingardium leviosa
0,wingardium leviosa shout wave long arm like windmill you say wrong harry hear hermione snap it winggardium leviosa make gar nice long you clever ron snarl hermione roll sleeve gown flick wand say wingardium leviosa,wingardium leviosa
0,it winggardium leviosa make gar nice long you clever ron snarl hermione roll sleeve gown flick wand say wingardium leviosa their feather rise desk hover four foot head oh well do cry professor flitwick clapping,wingardium leviosa
0,the troll feel harry hang even troll notice stick long bit wood nose harry wand still hand jump go straight one troll nostril howl pain troll twist flail club harry cling dear life second troll go rip catch terrible blow club hermione sunk floor fright ron pull wand know go hear cry first spell come head wingardium leviosa the club fly suddenly troll hand rise high high air turn slowly drop sicken crack onto owner head the troll sway spot fall flat face thud make whole room tremble,wingardium leviosa
0,little harry know ron hermione secretly practice leglocker curse they get idea malfoy use neville ready use snape show sign want hurt harry now forget locomotor mortis hermione mutter ron slip wand sleeve I know ron snap don nag,mortis locomotor
0,neville say I really really sorry she raise wand petrificus totalus cry point neville neville arm snap side his leg spring together,petrificus totalus
0,he pull handle lock the two follow they tug heave door budge even hermione try alohomora charm now say ron these birdsthey decoration say hermione,alohomora
1,they grab ink bottle spray class shred book paper tear picture wall upend waste basket grab bag book throw smash window within minute half class shelter desk neville swinge iron chandelier ceiling come round round pixie lockhart shout he roll sleeve brandish wand bellow peskipiksi pesternomi it absolutely effect one pixie seize wand throw window lockhart gulped dive desk narrowly avoid squashed neville fall second later chandelier give way,pesternomi peskipiksi
1,I bet harry murmur watch snape baring tooth one two three both swung wand head point opponent snape cry expelliarmus there dazzle flash scarlet light lockhart blast foot he fly backward stage smash wall slide sprawl floor malfoy slytherin cheer hermione dancing tiptoe,expelliarmus
1,when I count three cast charm disarm opponent disarm want accident one two three harry swung wand high malfoy already start two his spell hit harry hard feel though hit head saucepan he stumble everything still seem work waste time harry pointed wand straight malfoy shout rictusempra a jet silver light hit malfoy stomach double wheezing I say disarm lockhart shout alarm head battle crowd malfoy sank knee harry hit tickling charm could barely move laugh,rictusempra
1,a jet silver light hit malfoy stomach double wheezing I say disarm lockhart shout alarm head battle crowd malfoy sank knee harry hit tickling charm could barely move laugh harry hang back vague feeling would unsporte bewitch malfoy floor mistake gasp breath malfoy point wand harry knee choke tarantallegra next second harry leg begin jerk around control kind quickstep stop stop scream lockhart snape take charge,tarantallegra
1,stop stop scream lockhart snape take charge finite incantatem shout harry foot stop dance malfoy stop laugh able look a haze greenish smoke hover scene both neville justin lie floor pant ron hold ashenface seamus apologize whatever broken wand do hermione millicent bulstrode still move millicent hermione headlock hermione whimpering pain wand lie forget floor,finite incantatem
1,but lockhart listen three two one go shout malfoy raise wand quickly bellow serpensortia the end wand explode harry watch aghast long black snake shot fall heavily onto floor raise ready strike,serpensortia
