book_num,sentence,sentiment_label,sentiment_score,rob_emotion,rob_emotion_score,all_emotion_scores
0,uncle vernon go pale whisper something sound like mimblewimble hagrid stare wildly harry,neutral,0.8555636405944824,neutral,0.9202,"[{'label': 'neutral', 'score': 0.9202331304550171}, {'label': 'amusement', 'score': 0.010833983309566975}, {'label': 'approval', 'score': 0.010343312285840511}, {'label': 'excitement', 'score': 0.007997780106961727}, {'label': 'annoyance', 'score': 0.006504651624709368}, {'label': 'admiration', 'score': 0.005253067705780268}, {'label': 'joy', 'score': 0.004965198691934347}, {'label': 'realization', 'score': 0.004783128388226032}, {'label': 'disgust', 'score': 0.004137369338423014}, {'label': 'fear', 'score': 0.0030123605392873287}, {'label': 'curiosity', 'score': 0.00269835302606225}, {'label': 'surprise', 'score': 0.0026867531705647707}, {'label': 'sadness', 'score': 0.002215899294242263}, {'label': 'confusion', 'score': 0.002141583478078246}, {'label': 'anger', 'score': 0.002095288597047329}, {'label': 'disappointment', 'score': 0.0020928075537085533}, {'label': 'optimism', 'score': 0.0014789728447794914}, {'label': 'love', 'score': 0.0014255293644964695}, {'label': 'desire', 'score': 0.0013709507184103131}, {'label': 'disapproval', 'score': 0.0012390960473567247}, {'label': 'embarrassment', 'score': 0.001115671475417912}, {'label': 'gratitude', 'score': 0.0009952158434316516}, {'label': 'caring', 'score': 0.0008822132949717343}, {'label': 'nervousness', 'score': 0.0006072896649129689}, {'label': 'pride', 'score': 0.0006035285186953843}, {'label': 'grief', 'score': 0.0005493700155057013}, {'label': 'relief', 'score': 0.00045364341349340975}, {'label': 'remorse', 'score': 0.0003054639382753521}]"
0,she grab harry wand tap lock whisper alohomora,neutral,0.8958371877670288,neutral,0.9696,"[{'label': 'neutral', 'score': 0.9695736765861511}, {'label': 'approval', 'score': 0.010437676683068275}, {'label': 'annoyance', 'score': 0.006703202612698078}, {'label': 'realization', 'score': 0.004898927640169859}, {'label': 'admiration', 'score': 0.004277426283806562}, {'label': 'disappointment', 'score': 0.0037322184070944786}, {'label': 'disapproval', 'score': 0.0036580595187842846}, {'label': 'anger', 'score': 0.0032220492139458656}, {'label': 'sadness', 'score': 0.003168608993291855}, {'label': 'excitement', 'score': 0.0028461692854762077}, {'label': 'disgust', 'score': 0.0028401913587003946}, {'label': 'confusion', 'score': 0.0026776015292853117}, {'label': 'joy', 'score': 0.0024124495685100555}, {'label': 'amusement', 'score': 0.002335265977308154}, {'label': 'fear', 'score': 0.002090247580781579}, {'label': 'curiosity', 'score': 0.0017872763564810157}, {'label': 'optimism', 'score': 0.0017683852929621935}, {'label': 'love', 'score': 0.0015019535785540938}, {'label': 'desire', 'score': 0.001388202654197812}, {'label': 'gratitude', 'score': 0.0013229354517534375}, {'label': 'surprise', 'score': 0.001275518792681396}, {'label': 'caring', 'score': 0.0011880605015903711}, {'label': 'embarrassment', 'score': 0.0009381879353895783}, {'label': 'grief', 'score': 0.0006440943107008934}, {'label': 'pride', 'score': 0.0004693152441177517}, {'label': 'remorse', 'score': 0.0004642462881747633}, {'label': 'nervousness', 'score': 0.0004589672025758773}, {'label': 'relief', 'score': 0.0004153272893745452}]"
0,wingardium leviosa shout wave long arm like windmill,neutral,0.8588120937347412,neutral,0.9635,"[{'label': 'neutral', 'score': 0.963537871837616}, {'label': 'approval', 'score': 0.00923607125878334}, {'label': 'annoyance', 'score': 0.00893652718514204}, {'label': 'admiration', 'score': 0.006483916193246841}, {'label': 'realization', 'score': 0.004910449963063002}, {'label': 'excitement', 'score': 0.004357567522674799}, {'label': 'disgust', 'score': 0.004086321219801903}, {'label': 'amusement', 'score': 0.003862097393721342}, {'label': 'anger', 'score': 0.0036283230874687433}, {'label': 'disappointment', 'score': 0.0033969187643378973}, {'label': 'joy', 'score': 0.0029212194494903088}, {'label': 'fear', 'score': 0.0026314249262213707}, {'label': 'sadness', 'score': 0.0025311727076768875}, {'label': 'confusion', 'score': 0.0022210946772247553}, {'label': 'disapproval', 'score': 0.002156366826966405}, {'label': 'surprise', 'score': 0.001945636235177517}, {'label': 'curiosity', 'score': 0.0017356954049319029}, {'label': 'optimism', 'score': 0.00156412145588547}, {'label': 'gratitude', 'score': 0.001536984578706324}, {'label': 'love', 'score': 0.0014192340895533562}, {'label': 'embarrassment', 'score': 0.001328401849605143}, {'label': 'desire', 'score': 0.0012167623499408364}, {'label': 'caring', 'score': 0.0009739441447891295}, {'label': 'pride', 'score': 0.0006954057025723159}, {'label': 'grief', 'score': 0.0006342777633108199}, {'label': 'nervousness', 'score': 0.0005117376567795873}, {'label': 'relief', 'score': 0.0004830527468584478}, {'label': 'remorse', 'score': 0.0004687816835939884}]"
0,it winggardium leviosa make gar nice long,positive,0.7542540431022644,neutral,0.9236,"[{'label': 'neutral', 'score': 0.9235555529594421}, {'label': 'approval', 'score': 0.0420098714530468}, {'label': 'admiration', 'score': 0.038146525621414185}, {'label': 'realization', 'score': 0.004800178576260805}, {'label': 'annoyance', 'score': 0.0038169645704329014}, {'label': 'excitement', 'score': 0.0026829191483557224}, {'label': 'joy', 'score': 0.0025632225442677736}, {'label': 'disappointment', 'score': 0.002377324039116502}, {'label': 'optimism', 'score': 0.002356839133426547}, {'label': 'disapproval', 'score': 0.0021511416416615248}, {'label': 'love', 'score': 0.001476200995966792}, {'label': 'disgust', 'score': 0.001354980980977416}, {'label': 'gratitude', 'score': 0.0013150275917723775}, {'label': 'desire', 'score': 0.0012291055172681808}, {'label': 'amusement', 'score': 0.0012119666207581758}, {'label': 'sadness', 'score': 0.0011200022418051958}, {'label': 'caring', 'score': 0.0010636490769684315}, {'label': 'confusion', 'score': 0.0009958659065887332}, {'label': 'curiosity', 'score': 0.0009004921885207295}, {'label': 'anger', 'score': 0.0008324545924551785}, {'label': 'pride', 'score': 0.0007420296315103769}, {'label': 'fear', 'score': 0.0005066361627541482}, {'label': 'relief', 'score': 0.0005061916308477521}, {'label': 'surprise', 'score': 0.0004465460078790784}, {'label': 'embarrassment', 'score': 0.00028247162117622793}, {'label': 'remorse', 'score': 0.0002339178026886657}, {'label': 'grief', 'score': 0.00022512745636049658}, {'label': 'nervousness', 'score': 0.00018695896142162383}]"
0,hermione roll sleeve gown flick wand say wingardium leviosa,neutral,0.8793984055519104,neutral,0.9683,"[{'label': 'neutral', 'score': 0.9683226346969604}, {'label': 'approval', 'score': 0.010131168179214}, {'label': 'annoyance', 'score': 0.007042976096272469}, {'label': 'realization', 'score': 0.005360033828765154}, {'label': 'admiration', 'score': 0.004117198288440704}, {'label': 'excitement', 'score': 0.0037052000407129526}, {'label': 'disappointment', 'score': 0.0034084904473274946}, {'label': 'disapproval', 'score': 0.0033045276068150997}, {'label': 'amusement', 'score': 0.003131774952635169}, {'label': 'disgust', 'score': 0.002995097544044256}, {'label': 'anger', 'score': 0.0029441015794873238}, {'label': 'joy', 'score': 0.0027946368791162968}, {'label': 'confusion', 'score': 0.002702123485505581}, {'label': 'sadness', 'score': 0.002497163601219654}, {'label': 'fear', 'score': 0.002159407362341881}, {'label': 'curiosity', 'score': 0.0017549052136018872}, {'label': 'surprise', 'score': 0.0016824386548250914}, {'label': 'optimism', 'score': 0.0016528416890650988}, {'label': 'love', 'score': 0.0014281274052336812}, {'label': 'gratitude', 'score': 0.0014270506799221039}, {'label': 'embarrassment', 'score': 0.0011846816632896662}, {'label': 'desire', 'score': 0.001142833731137216}, {'label': 'caring', 'score': 0.0010527435224503279}, {'label': 'grief', 'score': 0.000602146377786994}, {'label': 'pride', 'score': 0.0005483799031935632}, {'label': 'nervousness', 'score': 0.0004935998003929853}, {'label': 'relief', 'score': 0.0004656141099985689}, {'label': 'remorse', 'score': 0.0004591317265294492}]"
0,hermione sunk floor fright ron pull wand know go hear cry first spell come head wingardium leviosa,neutral,0.8110005855560303,neutral,0.7793,"[{'label': 'neutral', 'score': 0.7792553901672363}, {'label': 'fear', 'score': 0.1952262669801712}, {'label': 'disgust', 'score': 0.012477366253733635}, {'label': 'annoyance', 'score': 0.00935219693928957}, {'label': 'sadness', 'score': 0.007864102721214294}, {'label': 'realization', 'score': 0.0075200702995061874}, {'label': 'approval', 'score': 0.007232742849737406}, {'label': 'nervousness', 'score': 0.007087670732289553}, {'label': 'amusement', 'score': 0.007052189204841852}, {'label': 'excitement', 'score': 0.006878784857690334}, {'label': 'surprise', 'score': 0.005386176984757185}, {'label': 'disappointment', 'score': 0.005376034881919622}, {'label': 'embarrassment', 'score': 0.004533232189714909}, {'label': 'joy', 'score': 0.0042232973501086235}, {'label': 'anger', 'score': 0.003967557568103075}, {'label': 'disapproval', 'score': 0.0032352146226912737}, {'label': 'admiration', 'score': 0.00316030764952302}, {'label': 'confusion', 'score': 0.0029121849220246077}, {'label': 'optimism', 'score': 0.002188501413911581}, {'label': 'desire', 'score': 0.0020539790857583284}, {'label': 'curiosity', 'score': 0.0019815668929368258}, {'label': 'caring', 'score': 0.0018260396318510175}, {'label': 'grief', 'score': 0.0016216379590332508}, {'label': 'gratitude', 'score': 0.0013425550423562527}, {'label': 'love', 'score': 0.0011858060024678707}, {'label': 'relief', 'score': 0.0009284897241741419}, {'label': 'pride', 'score': 0.0008380361250601709}, {'label': 'remorse', 'score': 0.0006492033717222512}]"
0,now forget locomotor mortis hermione mutter ron slip wand sleeve,neutral,0.7356662750244141,neutral,0.9578,"[{'label': 'neutral', 'score': 0.9577555060386658}, {'label': 'annoyance', 'score': 0.014729486778378487}, {'label': 'approval', 'score': 0.009983542375266552}, {'label': 'disapproval', 'score': 0.009721711277961731}, {'label': 'realization', 'score': 0.009014910086989403}, {'label': 'disappointment', 'score': 0.005262726917862892}, {'label': 'anger', 'score': 0.0038519753143191338}, {'label': 'sadness', 'score': 0.0028073550201952457}, {'label': 'amusement', 'score': 0.0023079412057995796}, {'label': 'disgust', 'score': 0.002276902785524726}, {'label': 'confusion', 'score': 0.0022768573835492134}, {'label': 'admiration', 'score': 0.001544711645692587}, {'label': 'optimism', 'score': 0.0015263037057593465}, {'label': 'fear', 'score': 0.001468173461034894}, {'label': 'joy', 'score': 0.001408840180374682}, {'label': 'excitement', 'score': 0.0012786113657057285}, {'label': 'surprise', 'score': 0.0011526505695655942}, {'label': 'embarrassment', 'score': 0.0011352121364325285}, {'label': 'curiosity', 'score': 0.0009592775604687631}, {'label': 'caring', 'score': 0.0008965043816715479}, {'label': 'gratitude', 'score': 0.0008239736198447645}, {'label': 'desire', 'score': 0.0007262975559569895}, {'label': 'love', 'score': 0.0005782446241937578}, {'label': 'grief', 'score': 0.00047230059863068163}, {'label': 'nervousness', 'score': 0.00041894600144587457}, {'label': 'relief', 'score': 0.00037799213896505535}, {'label': 'remorse', 'score': 0.0003742691478691995}, {'label': 'pride', 'score': 0.00029675415134988725}]"
0,petrificus totalus cry point neville,neutral,0.6950445175170898,neutral,0.966,"[{'label': 'neutral', 'score': 0.9660321474075317}, {'label': 'approval', 'score': 0.011194328777492046}, {'label': 'annoyance', 'score': 0.006802184972912073}, {'label': 'realization', 'score': 0.005274302326142788}, {'label': 'disapproval', 'score': 0.004224065691232681}, {'label': 'admiration', 'score': 0.004218386951833963}, {'label': 'disappointment', 'score': 0.0037526891101151705}, {'label': 'disgust', 'score': 0.003055144567042589}, {'label': 'confusion', 'score': 0.0029172003269195557}, {'label': 'amusement', 'score': 0.002915347693488002}, {'label': 'anger', 'score': 0.0028931801207363605}, {'label': 'sadness', 'score': 0.002626476576551795}, {'label': 'excitement', 'score': 0.002551101613789797}, {'label': 'joy', 'score': 0.0021463946904987097}, {'label': 'fear', 'score': 0.001851491048000753}, {'label': 'curiosity', 'score': 0.001775782904587686}, {'label': 'love', 'score': 0.0014607050688937306}, {'label': 'optimism', 'score': 0.0014504353748634458}, {'label': 'gratitude', 'score': 0.0014417911879718304}, {'label': 'surprise', 'score': 0.0013134017353877425}, {'label': 'embarrassment', 'score': 0.0011039216769859195}, {'label': 'desire', 'score': 0.000997732044197619}, {'label': 'caring', 'score': 0.0008249843958765268}, {'label': 'grief', 'score': 0.000573750352486968}, {'label': 'remorse', 'score': 0.0004514666215982288}, {'label': 'pride', 'score': 0.00042800154187716544}, {'label': 'relief', 'score': 0.0003898184222634882}, {'label': 'nervousness', 'score': 0.0003745077701751143}]"
0,they tug heave door budge even hermione try alohomora charm,neutral,0.8882768750190735,neutral,0.9702,"[{'label': 'neutral', 'score': 0.9702183604240417}, {'label': 'approval', 'score': 0.014678606763482094}, {'label': 'annoyance', 'score': 0.008058907464146614}, {'label': 'realization', 'score': 0.005838253069669008}, {'label': 'disappointment', 'score': 0.004403962288051844}, {'label': 'disapproval', 'score': 0.004317044280469418}, {'label': 'admiration', 'score': 0.003663760842755437}, {'label': 'sadness', 'score': 0.0028846377972513437}, {'label': 'disgust', 'score': 0.002818471286445856}, {'label': 'excitement', 'score': 0.0027236936148256063}, {'label': 'anger', 'score': 0.0026488928124308586}, {'label': 'joy', 'score': 0.0024524948094040155}, {'label': 'amusement', 'score': 0.0022280251141637564}, {'label': 'optimism', 'score': 0.002141423523426056}, {'label': 'love', 'score': 0.0018756523495540023}, {'label': 'desire', 'score': 0.0016123427776619792}, {'label': 'fear', 'score': 0.0015795610379427671}, {'label': 'caring', 'score': 0.0015689340652897954}, {'label': 'confusion', 'score': 0.0014446580316871405}, {'label': 'gratitude', 'score': 0.0011225396301597357}, {'label': 'curiosity', 'score': 0.0010623412672430277}, {'label': 'surprise', 'score': 0.0009907966013997793}, {'label': 'embarrassment', 'score': 0.0009469854412600398}, {'label': 'grief', 'score': 0.0005680496105924249}, {'label': 'remorse', 'score': 0.0005639835726469755}, {'label': 'pride', 'score': 0.000539422791916877}, {'label': 'relief', 'score': 0.0005226869834586978}, {'label': 'nervousness', 'score': 0.0004166040744166821}]"
1,he roll sleeve brandish wand bellow peskipiksi pesternomi,neutral,0.8259724378585815,neutral,0.9666,"[{'label': 'neutral', 'score': 0.9666333794593811}, {'label': 'approval', 'score': 0.010156102478504181}, {'label': 'annoyance', 'score': 0.010119663551449776}, {'label': 'realization', 'score': 0.005593482870608568}, {'label': 'disapproval', 'score': 0.004604929592460394}, {'label': 'disappointment', 'score': 0.003749201772734523}, {'label': 'anger', 'score': 0.0033460301347076893}, {'label': 'admiration', 'score': 0.00319376727566123}, {'label': 'disgust', 'score': 0.0025101497303694487}, {'label': 'sadness', 'score': 0.002499388065189123}, {'label': 'excitement', 'score': 0.0022794639226049185}, {'label': 'amusement', 'score': 0.002261077519506216}, {'label': 'joy', 'score': 0.0020796172320842743}, {'label': 'optimism', 'score': 0.0019375907722860575}, {'label': 'confusion', 'score': 0.001900423550978303}, {'label': 'fear', 'score': 0.0016106887487694621}, {'label': 'gratitude', 'score': 0.001593220978975296}, {'label': 'curiosity', 'score': 0.0011899751843884587}, {'label': 'desire', 'score': 0.001160473213531077}, {'label': 'surprise', 'score': 0.0011271997354924679}, {'label': 'caring', 'score': 0.00099219661206007}, {'label': 'love', 'score': 0.0009041822631843388}, {'label': 'embarrassment', 'score': 0.0009018483688123524}, {'label': 'grief', 'score': 0.0004914770252071321}, {'label': 'pride', 'score': 0.00047092221211642027}, {'label': 'relief', 'score': 0.00042095183744095266}, {'label': 'nervousness', 'score': 0.00037002572207711637}, {'label': 'remorse', 'score': 0.0003699530498124659}]"
